indicator_code,ref_area,period,value,obs_status,source,wb_indicator,indicator_name
IND001,COD,2024,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2023,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2022,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2021,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2020,85.3,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2019,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2018,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2017,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2016,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2015,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2014,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2013,NA,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
IND001,COD,2012,78.9,RDC,worldbank,NA,"1.1.1 Proportion de la population vivant au-dessous du seuil de pauvreté fixé au niveau international (PPA 2017 2,15 USD/jour)"
